table,id,column,before,after
episode,33ebad93-a7a6-4bbc-87b7-8420327c723d,cover_path,r2://ppp-media/covers/episode/33ebad93-a7a6-4bbc-87b7-8420327c723d/0ffec243fd9548c5a7fd171f6f214842.jpg,r2://ppp-media/covers/episode/33ebad93-a7a6-4bbc-87b7-8420327c723d/0ffec243fd9548c5a7fd171f6f214842.jpg
episode,359a0428-e281-4227-b807-09b742d2fed2,cover_path,r2://ppp-media/covers/episode/359a0428-e281-4227-b807-09b742d2fed2/9a125256dee14edca99828cf9b3ecdbd.jpg,r2://ppp-media/covers/episode/359a0428-e281-4227-b807-09b742d2fed2/9a125256dee14edca99828cf9b3ecdbd.jpg
episode,537783ce-00fd-48a5-a04f-029e4ee5884d,cover_path,r2://ppp-media/covers/episode/537783ce-00fd-48a5-a04f-029e4ee5884d/1aae57503dc0066097a3c1f588aab1d9.jpg,r2://ppp-media/covers/episode/537783ce-00fd-48a5-a04f-029e4ee5884d/1aae57503dc0066097a3c1f588aab1d9.jpg
episode,e2a8a2b4-d994-4b16-8d60-fcf5cdfd706f,cover_path,r2://ppp-media/covers/episode/e2a8a2b4-d994-4b16-8d60-fcf5cdfd706f/b2c622ea010ebc266d01ff3486e13ca9.jpg,r2://ppp-media/covers/episode/e2a8a2b4-d994-4b16-8d60-fcf5cdfd706f/b2c622ea010ebc266d01ff3486e13ca9.jpg
episode,3cf8c26e-c35c-4a4c-87ea-7dbad4b3a49b,cover_path,r2://ppp-media/covers/episode/3cf8c26e-c35c-4a4c-87ea-7dbad4b3a49b/2d008b27f8d48a77acad71962c43c390.jpg,r2://ppp-media/covers/episode/3cf8c26e-c35c-4a4c-87ea-7dbad4b3a49b/2d008b27f8d48a77acad71962c43c390.jpg
episode,80985d9a-2151-4c26-a58a-d18c0d4da660,cover_path,r2://ppp-media/covers/episode/80985d9a-2151-4c26-a58a-d18c0d4da660/550658ac4a99c7ba097021306e298933.jpg,r2://ppp-media/covers/episode/80985d9a-2151-4c26-a58a-d18c0d4da660/550658ac4a99c7ba097021306e298933.jpg
episode,489159e6-04af-428f-bbc6-1498bbf6424b,cover_path,r2://ppp-media/covers/episode/489159e6-04af-428f-bbc6-1498bbf6424b/4f6d6404bab1068d3b3ac8fefe5acd1b.jpg,r2://ppp-media/covers/episode/489159e6-04af-428f-bbc6-1498bbf6424b/4f6d6404bab1068d3b3ac8fefe5acd1b.jpg
episode,185e2da7-bb48-461e-942b-3cac397d9c10,cover_path,r2://ppp-media/covers/episode/185e2da7-bb48-461e-942b-3cac397d9c10/211f99c6dc1f4d27133c2a4c05b89be8.jpg,r2://ppp-media/covers/episode/185e2da7-bb48-461e-942b-3cac397d9c10/211f99c6dc1f4d27133c2a4c05b89be8.jpg
episode,9e62bdb0-93aa-4017-8ea8-789408e221b5,cover_path,r2://ppp-media/covers/episode/9e62bdb0-93aa-4017-8ea8-789408e221b5/403aba2b150654957fe8761e5811322c.jpg,r2://ppp-media/covers/episode/9e62bdb0-93aa-4017-8ea8-789408e221b5/403aba2b150654957fe8761e5811322c.jpg
episode,80cc6660-e70d-4fd1-9181-1b15dbd9cc37,cover_path,r2://ppp-media/covers/episode/80cc6660-e70d-4fd1-9181-1b15dbd9cc37/419423abe275001f1fc11e1fcb724d38.jpg,r2://ppp-media/covers/episode/80cc6660-e70d-4fd1-9181-1b15dbd9cc37/419423abe275001f1fc11e1fcb724d38.jpg
episode,3f1a3d4c-a66d-4242-9823-07e4739e3972,cover_path,r2://ppp-media/covers/episode/3f1a3d4c-a66d-4242-9823-07e4739e3972/58358b925ac80fdb49c88095b489c5ca.jpg,r2://ppp-media/covers/episode/3f1a3d4c-a66d-4242-9823-07e4739e3972/58358b925ac80fdb49c88095b489c5ca.jpg
episode,860cdd59-ab5f-4cff-a280-4cd0586ac55c,cover_path,r2://ppp-media/covers/episode/860cdd59-ab5f-4cff-a280-4cd0586ac55c/69385b5b658b81b3c764c0985855d6ed.jpg,r2://ppp-media/covers/episode/860cdd59-ab5f-4cff-a280-4cd0586ac55c/69385b5b658b81b3c764c0985855d6ed.jpg
episode,1a80acd5-7825-4650-a843-ae5629470482,cover_path,r2://ppp-media/covers/episode/1a80acd5-7825-4650-a843-ae5629470482/2d4362ffe2335eb74a874a3339336160.jpg,r2://ppp-media/covers/episode/1a80acd5-7825-4650-a843-ae5629470482/2d4362ffe2335eb74a874a3339336160.jpg
episode,5531958c-ebcd-4ce7-8e73-8bac6c5988bb,cover_path,r2://ppp-media/covers/episode/5531958c-ebcd-4ce7-8e73-8bac6c5988bb/3c72bb015b3c242d16e6764c3a42886d.jpg,r2://ppp-media/covers/episode/5531958c-ebcd-4ce7-8e73-8bac6c5988bb/3c72bb015b3c242d16e6764c3a42886d.jpg
episode,3bd6ceb7-9b6b-432d-969b-e36f511ca572,cover_path,r2://ppp-media/covers/episode/3bd6ceb7-9b6b-432d-969b-e36f511ca572/9d2a53ca4dfa9ba4070afd3fbaafed7e.jpg,r2://ppp-media/covers/episode/3bd6ceb7-9b6b-432d-969b-e36f511ca572/9d2a53ca4dfa9ba4070afd3fbaafed7e.jpg
episode,473f5a11-24a4-48a3-81f0-f0d8b6c4256a,cover_path,r2://ppp-media/covers/episode/473f5a11-24a4-48a3-81f0-f0d8b6c4256a/a5ee05ddcf74e96d996b49bbdede72b1.jpg,r2://ppp-media/covers/episode/473f5a11-24a4-48a3-81f0-f0d8b6c4256a/a5ee05ddcf74e96d996b49bbdede72b1.jpg
episode,89ceb1a7-2676-4e67-9c8d-18b6d00cc613,cover_path,r2://ppp-media/covers/episode/89ceb1a7-2676-4e67-9c8d-18b6d00cc613/8f6194fce4b274cbf32c5b86ee2f4e23.jpg,r2://ppp-media/covers/episode/89ceb1a7-2676-4e67-9c8d-18b6d00cc613/8f6194fce4b274cbf32c5b86ee2f4e23.jpg
episode,b1652c77-c247-4cc6-b6cb-b9d154841d3f,cover_path,r2://ppp-media/covers/episode/b1652c77-c247-4cc6-b6cb-b9d154841d3f/50bff395e57f954e8c55485c15ef84ea.jpg,r2://ppp-media/covers/episode/b1652c77-c247-4cc6-b6cb-b9d154841d3f/50bff395e57f954e8c55485c15ef84ea.jpg
episode,f7b3395c-afe4-452a-b287-fcdcbdb7b368,cover_path,r2://ppp-media/covers/episode/f7b3395c-afe4-452a-b287-fcdcbdb7b368/697c88808deea39530d3d7d073e419d5.jpg,r2://ppp-media/covers/episode/f7b3395c-afe4-452a-b287-fcdcbdb7b368/697c88808deea39530d3d7d073e419d5.jpg
episode,978f8bd5-d510-4eb7-b4ac-7b38e42f5a34,cover_path,r2://ppp-media/covers/episode/978f8bd5-d510-4eb7-b4ac-7b38e42f5a34/0bbe401e32e5ee8d5c42139f1b9ac92e.jpg,r2://ppp-media/covers/episode/978f8bd5-d510-4eb7-b4ac-7b38e42f5a34/0bbe401e32e5ee8d5c42139f1b9ac92e.jpg
episode,4995c781-d3e8-4299-98ad-1996a1717f5a,cover_path,r2://ppp-media/covers/episode/4995c781-d3e8-4299-98ad-1996a1717f5a/8764c2960dee10a0f0af4159b642f42e.jpg,r2://ppp-media/covers/episode/4995c781-d3e8-4299-98ad-1996a1717f5a/8764c2960dee10a0f0af4159b642f42e.jpg
